Customer ID,Customer First,Customer Last,TicketID,Ticket Created,Workorder Created,Employee ID,Employee First,Employee Last,Clocked In,Certification
C975411553-2,Ruy,Leeke,T211434080-25,10/21/2020 19:46,12/08/2023 21:43:39,E932383184-0,Magdalen,Habble,10/22/2020 1:14,CompTIA_Server+
C072344987-2,Barnabe,Haddrill,T491959502-26,10/21/2020 19:47,12/08/2023 21:43:39,E259950699-9,Lindy,Rops,10/22/2020 2:30,Microsoft_Certified
C675410089-3,Ethyl,Coutthart,T489404732-22,10/21/2020 19:47,12/08/2023 21:43:39,E316442525-2,Chucho,Seres,10/22/2020 2:59,CompTIA_Server+
C042048115-X,Lorry,Illem,T730075194-26,10/21/2020 19:48,12/08/2023 21:43:39,E564877819-8,Horatio,Roll,10/22/2020 3:38,Microsoft_Certified
C046431682-0,Dolph,Dillestone,T960984599-21,10/21/2020 19:48,12/08/2023 21:43:39,E768080015-4,Katy,Plumridge,10/22/2020 4:19,CompTIA_Server+
C684798559-3,Henderson,MacVay,T553832985-22,10/21/2020 19:49,12/08/2023 21:43:39,E311106623-1,Virgie,Parkhouse,10/22/2020 5:16,Microsoft_Certified
C413306595-6,Maxine,Hymers,T621191857-27,10/21/2020 19:49,12/08/2023 21:43:39,E161606676-8,Ted,Matteotti,10/22/2020 6:45,CompTIA_Server+
C716176043-7,Carce,Joppich,T348694980-22,10/21/2020 19:50,12/08/2023 21:43:39,E769348203-2,Anthony,Maven,10/22/2020 7:36,Microsoft_Certified
C084740228-2,Florance,Dosdale,T636106909-25,10/21/2020 19:50,12/08/2023 21:43:39,E948802623-5,Lilia,Bowen,10/22/2020 8:12,CompTIA_Server+
C825264465-1,Jermaine,Patis,T595276226-23,10/21/2020 19:54,12/08/2023 21:43:39,E978092756-5,Tove,Dodds,10/22/2020 8:50,Microsoft_Certified
C838567309-1,Keenan,Kohtler,T718674510-25,10/21/2020 19:54,12/08/2023 21:43:39,E540690812-X,Diena,Kuzemka,10/22/2020 9:30,CompTIA_Server+
C550142322-7,Franzen,Remmers,T126921525-26,10/21/2020 19:54,12/08/2023 21:43:39,E957693141-X,Philis,Whinray,10/22/2020 10:03,Microsoft_Certified
C666077906-X,Ara,Brumbye,T162172521-29,10/21/2020 19:54,12/08/2023 21:43:39,E660836158-0,Hammad,Snead,10/22/2020 10:53,CompTIA_Server+
C985304704-7,Ada,Skivington,T140445547-27,10/21/2020 19:55,12/08/2023 21:43:39,E478507098-6,Shep,Coatsworth,10/22/2020 11:45,Microsoft_Certified
C663899569-3,Mitchael,Chapier,T008312854-29,10/21/2020 19:55,12/08/2023 21:43:39,E955623057-2,Steffane,St Quenin,10/22/2020 13:12,CompTIA_Server+
C758233577-5,Ibbie,Treat,T672608910-24,10/21/2020 19:56,12/08/2023 21:43:39,E735007084-5,Keslie,Comsty,10/22/2020 13:40,Microsoft_Certified
C047595843-8,Sheree,Downey,T715103461-2X,10/21/2020 19:57,12/08/2023 21:43:39,E247421236-1,Raymund,Dufour,10/22/2020 13:59,CompTIA_Server+
C738860151-1,Dru,Brooker,T847048074-2X,10/21/2020 19:58,12/08/2023 21:43:39,E532143762-9,Maxie,Brentnall,10/22/2020 15:03,Microsoft_Certified
C311089852-7,Carol,Bodle,T511837086-28,10/21/2020 19:59,12/08/2023 21:43:39,E491766151-X,Jacqui,Minghella,10/22/2020 15:46,CompTIA_Server+
C494432563-0,Allianora,Barnewall,T400178507-22,10/21/2020 20:01,12/08/2023 21:43:39,E199205436-3,Carmelita,Wyse,10/22/2020 17:53,Microsoft_Certified
C788878556-5,Merle,Bruntje,T434299078-24,10/21/2020 20:01,12/08/2023 21:43:39,E066662186-1,Florella,Eggerton,10/22/2020 18:18,CompTIA_Server+
C324396122-X,Crissie,Camlin,T794134552-28,10/21/2020 20:03,12/08/2023 21:43:39,E891626253-4,Leena,Worman,10/22/2020 19:53,Microsoft_Certified
C384086471-2,Sophie,Sant,T153131462-27,10/21/2020 20:03,12/08/2023 21:43:39,E798518349-3,Durand,McKibbin,10/22/2020 22:12,CompTIA_Server+
C697150903-X,Justin,Daltrey,T339713760-28,10/21/2020 20:03,12/08/2023 21:43:39,E219851480-X,Barbabas,Bathow,10/22/2020 23:22,Microsoft_Certified
C845081866-4,Baxter,Felton,T135584617-2X,10/21/2020 20:04,12/08/2023 21:43:39,E767582271-4,Horatius,Scobie,10/22/2020 0:44,Microsoft_Certified
C702965856-6,Gianni,Allom,T892325246-28,10/21/2020 20:04,12/08/2023 21:43:39,E932383184-0,Magdalen,Habble,10/22/2020 1:14,CompTIA_Server+
C331408189-8,Hayes,Bausmann,T654186401-22,10/21/2020 20:06,12/08/2023 21:43:39,E259950699-9,Lindy,Rops,10/22/2020 2:30,Microsoft_Certified
C226358648-2,Tracie,Aldie,T102574258-23,10/21/2020 20:07,12/08/2023 21:43:39,E316442525-2,Chucho,Seres,10/22/2020 2:59,CompTIA_Server+
C368453636-9,Demott,Wildt,T049790528-20,10/21/2020 20:08,12/08/2023 21:43:39,E564877819-8,Horatio,Roll,10/22/2020 3:38,Microsoft_Certified
C527386254-X,Shina,Jedrzejewski,T951875418-27,10/21/2020 20:11,12/08/2023 21:43:39,E768080015-4,Katy,Plumridge,10/22/2020 4:19,CompTIA_Server+
C226619506-9,Melloney,Seath,T420431606-29,10/21/2020 20:13,12/08/2023 21:43:39,E311106623-1,Virgie,Parkhouse,10/22/2020 5:16,Microsoft_Certified
C591875350-8,Robinetta,De Blasiis,T459463342-20,10/21/2020 20:13,12/08/2023 21:43:39,E161606676-8,Ted,Matteotti,10/22/2020 6:45,CompTIA_Server+
C151369766-8,Simone,Rogeon,T651180865-23,10/21/2020 20:15,12/08/2023 21:43:39,E769348203-2,Anthony,Maven,10/22/2020 7:36,Microsoft_Certified
C295228963-8,Keen,Calder,T635765016-21,10/21/2020 20:15,12/08/2023 21:43:39,E948802623-5,Lilia,Bowen,10/22/2020 8:12,CompTIA_Server+
C757796369-0,Monty,Sivewright,T843048262-28,10/21/2020 20:18,12/08/2023 21:43:39,E978092756-5,Tove,Dodds,10/22/2020 8:50,Microsoft_Certified
C558471734-7,Phillie,Griffin,T638738334-2X,10/21/2020 20:18,12/08/2023 21:43:39,E540690812-X,Diena,Kuzemka,10/22/2020 9:30,CompTIA_Server+
C472049090-5,Marc,Heersema,T236546596-2X,10/21/2020 20:19,12/08/2023 21:43:39,E957693141-X,Philis,Whinray,10/22/2020 10:03,Microsoft_Certified
C149789828-5,Millicent,Plaister,T443764638-2X,10/21/2020 20:20,12/08/2023 21:43:39,E660836158-0,Hammad,Snead,10/22/2020 10:53,CompTIA_Server+
C216097338-6,Putnem,Corrigan,T868490381-21,10/21/2020 20:22,12/08/2023 21:43:39,E478507098-6,Shep,Coatsworth,10/22/2020 11:45,Microsoft_Certified
C803176984-2,Carly,Armor,T007855224-29,10/21/2020 20:24,12/08/2023 21:43:39,E955623057-2,Steffane,St Quenin,10/22/2020 13:12,CompTIA_Server+
C633296908-3,Jakob,Sollner,T155269075-2X,10/21/2020 20:26,12/08/2023 21:43:39,E735007084-5,Keslie,Comsty,10/22/2020 13:40,Microsoft_Certified
C284525549-7,Teri,Juster,T054354023-25,10/21/2020 20:28,12/08/2023 21:43:39,E247421236-1,Raymund,Dufour,10/22/2020 13:59,CompTIA_Server+
C896382254-0,Olive,Peeters,T347640298-23,10/21/2020 20:28,12/08/2023 21:43:39,E532143762-9,Maxie,Brentnall,10/22/2020 15:03,Microsoft_Certified
C418366674-0,Dalenna,Philpots,T743958861-24,10/21/2020 20:30,12/08/2023 21:43:39,E491766151-X,Jacqui,Minghella,10/22/2020 15:46,CompTIA_Server+
C497805363-3,Clyve,Hans,T096893658-2X,10/21/2020 20:32,12/08/2023 21:43:39,E199205436-3,Carmelita,Wyse,10/22/2020 17:53,Microsoft_Certified
C041324488-1,Rufus,Gwioneth,T095284232-27,10/21/2020 20:33,12/08/2023 21:43:39,E066662186-1,Florella,Eggerton,10/22/2020 18:18,CompTIA_Server+
C841438280-0,Keven,Gosse,T235314153-26,10/21/2020 20:34,12/08/2023 21:43:39,E891626253-4,Leena,Worman,10/22/2020 19:53,Microsoft_Certified
C245974227-4,Selinda,Oki,T553083246-26,10/21/2020 20:34,12/08/2023 21:43:39,E798518349-3,Durand,McKibbin,10/22/2020 22:12,CompTIA_Server+
C507703875-9,Justen,Lindroos,T535362366-25,10/21/2020 20:41,12/08/2023 21:43:39,E219851480-X,Barbabas,Bathow,10/22/2020 23:22,Microsoft_Certified
C607128393-0,Neal,Escudier,T904233681-21,10/21/2020 20:42,12/08/2023 21:43:39,E767582271-4,Horatius,Scobie,10/22/2020 0:44,Microsoft_Certified
C503972114-5,Lianne,Kerwick,T511207665-28,10/21/2020 20:42,12/08/2023 21:43:39,E932383184-0,Magdalen,Habble,10/22/2020 1:14,CompTIA_Server+
C867263303-2,Robinet,Pleavin,T290106257-21,10/21/2020 20:44,12/08/2023 21:43:39,E259950699-9,Lindy,Rops,10/22/2020 2:30,Microsoft_Certified
C447575609-X,Neall,Hebden,T726815435-26,10/21/2020 20:51,12/08/2023 21:43:39,E316442525-2,Chucho,Seres,10/22/2020 2:59,CompTIA_Server+
C680599810-7,Emogene,Parman,T971806595-24,10/21/2020 20:54,12/08/2023 21:43:39,E564877819-8,Horatio,Roll,10/22/2020 3:38,Microsoft_Certified
C422283137-9,Maurie,Niesel,T720346500-24,10/21/2020 20:56,12/08/2023 21:43:39,E768080015-4,Katy,Plumridge,10/22/2020 4:19,CompTIA_Server+
C959721288-9,Ina,Skene,T714563897-25,10/21/2020 20:57,12/08/2023 21:43:39,E311106623-1,Virgie,Parkhouse,10/22/2020 5:16,Microsoft_Certified
C344060269-9,Lorelei,Paynter,T712687026-24,10/21/2020 20:58,12/08/2023 21:43:39,E161606676-8,Ted,Matteotti,10/22/2020 6:45,CompTIA_Server+
C901299444-6,Rayna,Thames,T422616036-23,10/21/2020 21:00,12/08/2023 21:43:39,E769348203-2,Anthony,Maven,10/22/2020 7:36,Microsoft_Certified
C128457970-0,Jillane,Almack,T014433450-2X,10/21/2020 21:00,12/08/2023 21:43:39,E948802623-5,Lilia,Bowen,10/22/2020 8:12,CompTIA_Server+
C394465533-8,Roselle,Langthorne,T252391332-21,10/21/2020 21:01,12/08/2023 21:43:39,E978092756-5,Tove,Dodds,10/22/2020 8:50,Microsoft_Certified
C832652817-X,Catriona,Goodnow,T763368437-22,10/21/2020 21:02,12/08/2023 21:43:39,E540690812-X,Diena,Kuzemka,10/22/2020 9:30,CompTIA_Server+
C003131072-9,Giorgi,Trazzi,T343750101-21,10/21/2020 21:03,12/08/2023 21:43:39,E957693141-X,Philis,Whinray,10/22/2020 10:03,Microsoft_Certified
C551596921-9,Adeline,Hassan,T246592292-20,10/21/2020 21:07,12/08/2023 21:43:39,E660836158-0,Hammad,Snead,10/22/2020 10:53,CompTIA_Server+
C871998826-5,Josefina,Downton,T076578494-27,10/21/2020 21:07,12/08/2023 21:43:39,E478507098-6,Shep,Coatsworth,10/22/2020 11:45,Microsoft_Certified
C088953289-3,Gene,Everley,T638636750-22,10/21/2020 21:11,12/08/2023 21:43:39,E955623057-2,Steffane,St Quenin,10/22/2020 13:12,CompTIA_Server+
C290615259-5,Neel,Janout,T373236976-25,10/21/2020 21:12,12/08/2023 21:43:39,E735007084-5,Keslie,Comsty,10/22/2020 13:40,Microsoft_Certified
C699647579-1,Kain,Caulcott,T341214716-28,10/21/2020 21:12,12/08/2023 21:43:39,E247421236-1,Raymund,Dufour,10/22/2020 13:59,CompTIA_Server+
C994165107-8,Carmelia,Maxted,T774036037-26,10/21/2020 21:13,12/08/2023 21:43:39,E532143762-9,Maxie,Brentnall,10/22/2020 15:03,Microsoft_Certified
C939793754-5,Jenilee,Broggelli,T169880802-2X,10/21/2020 21:13,12/08/2023 21:43:39,E491766151-X,Jacqui,Minghella,10/22/2020 15:46,CompTIA_Server+
C514142461-8,Shermie,Collopy,T819221527-2X,10/21/2020 21:14,12/08/2023 21:43:39,E199205436-3,Carmelita,Wyse,10/22/2020 17:53,Microsoft_Certified
C978291688-9,Che,Slemming,T562550453-29,10/21/2020 21:15,12/08/2023 21:43:39,E066662186-1,Florella,Eggerton,10/22/2020 18:18,CompTIA_Server+
C659379854-1,Durand,Reyner,T266988930-21,10/21/2020 21:16,12/08/2023 21:43:39,E891626253-4,Leena,Worman,10/22/2020 19:53,Microsoft_Certified
C379295349-8,Reuven,Fasset,T179174094-24,10/21/2020 21:17,12/08/2023 21:43:39,E798518349-3,Durand,McKibbin,10/22/2020 22:12,CompTIA_Server+
C143979370-0,Rolph,Deluca,T960048391-24,10/21/2020 21:20,12/08/2023 21:43:39,E219851480-X,Barbabas,Bathow,10/22/2020 23:22,Microsoft_Certified
C585395458-X,Arlene,Eley,T229499206-27,10/21/2020 21:20,12/08/2023 21:43:39,E767582271-4,Horatius,Scobie,10/22/2020 0:44,Microsoft_Certified
C280647329-2,Ganny,Vlasov,T460193454-20,10/21/2020 21:23,12/08/2023 21:43:39,E932383184-0,Magdalen,Habble,10/22/2020 1:14,CompTIA_Server+
C237409210-0,Chip,Stowe,T533606791-21,10/21/2020 21:27,12/08/2023 21:43:39,E259950699-9,Lindy,Rops,10/22/2020 2:30,Microsoft_Certified
C738656032-X,Tildi,Heliot,T308824057-29,10/21/2020 21:29,12/08/2023 21:43:39,E316442525-2,Chucho,Seres,10/22/2020 2:59,CompTIA_Server+
C970117647-2,Bernita,Fielding,T274701634-2X,10/21/2020 21:30,12/08/2023 21:43:39,E564877819-8,Horatio,Roll,10/22/2020 3:38,Microsoft_Certified
C455405021-1,Broderic,Gaukroger,T036404728-23,10/21/2020 21:32,12/08/2023 21:43:39,E768080015-4,Katy,Plumridge,10/22/2020 4:19,CompTIA_Server+
C439582302-5,Florrie,Maskelyne,T789531961-22,10/21/2020 21:33,12/08/2023 21:43:39,E311106623-1,Virgie,Parkhouse,10/22/2020 5:16,Microsoft_Certified
C986064279-6,Bibbye,Viccary,T901264079-22,10/21/2020 21:35,12/08/2023 21:43:39,E161606676-8,Ted,Matteotti,10/22/2020 6:45,CompTIA_Server+
C527359168-6,Belva,Niblett,T607203780-21,10/21/2020 21:36,12/08/2023 21:43:39,E769348203-2,Anthony,Maven,10/22/2020 7:36,Microsoft_Certified
C189022987-3,Deeann,Scoular,T210861145-22,10/21/2020 21:36,12/08/2023 21:43:39,E948802623-5,Lilia,Bowen,10/22/2020 8:12,CompTIA_Server+
C485307369-8,Wenonah,Hucquart,T576333461-22,10/21/2020 21:39,12/08/2023 21:43:39,E978092756-5,Tove,Dodds,10/22/2020 8:50,Microsoft_Certified
C097333634-X,Barbaraanne,Eslie,T667220735-2X,10/21/2020 21:42,12/08/2023 21:43:39,E540690812-X,Diena,Kuzemka,10/22/2020 9:30,CompTIA_Server+
C191070005-3,Lem,Fermoy,T956934126-22,10/21/2020 21:44,12/08/2023 21:43:39,E957693141-X,Philis,Whinray,10/22/2020 10:03,Microsoft_Certified
C569747376-1,Enrica,Menco,T035954673-20,10/21/2020 21:44,12/08/2023 21:43:39,E660836158-0,Hammad,Snead,10/22/2020 10:53,CompTIA_Server+
C674089123-0,Galvin,Egentan,T077386177-27,10/21/2020 21:48,12/08/2023 21:43:39,E478507098-6,Shep,Coatsworth,10/22/2020 11:45,Microsoft_Certified
C367980645-0,Granger,Fayerman,T309411910-27,10/21/2020 21:48,12/08/2023 21:43:39,E955623057-2,Steffane,St Quenin,10/22/2020 13:12,CompTIA_Server+
C641907703-6,Lori,Gaunt,T424854553-25,10/21/2020 21:51,12/08/2023 21:43:39,E735007084-5,Keslie,Comsty,10/22/2020 13:40,Microsoft_Certified
C447911510-2,Caspar,Dorber,T766761971-29,10/21/2020 21:52,12/08/2023 21:43:39,E247421236-1,Raymund,Dufour,10/22/2020 13:59,CompTIA_Server+
C949793719-9,Peirce,Grannell,T826171022-2X,10/21/2020 21:55,12/08/2023 21:43:39,E532143762-9,Maxie,Brentnall,10/22/2020 15:03,Microsoft_Certified
C007488770-X,Malorie,McGinty,T344347167-26,10/21/2020 21:57,12/08/2023 21:43:39,E491766151-X,Jacqui,Minghella,10/22/2020 15:46,CompTIA_Server+
C719356590-7,Kerwinn,Lates,T822455609-23,10/21/2020 22:01,12/08/2023 21:43:39,E199205436-3,Carmelita,Wyse,10/22/2020 17:53,Microsoft_Certified
C115861411-X,Herby,Alban,T354597363-28,10/21/2020 22:01,12/08/2023 21:43:39,E066662186-1,Florella,Eggerton,10/22/2020 18:18,CompTIA_Server+
C798155406-3,Curtis,Schottli,T957122853-22,10/21/2020 22:02,12/08/2023 21:43:39,E891626253-4,Leena,Worman,10/22/2020 19:53,Microsoft_Certified
C434280778-5,Jackelyn,Krammer,T627387715-27,10/21/2020 22:02,12/08/2023 21:43:39,E798518349-3,Durand,McKibbin,10/22/2020 22:12,CompTIA_Server+
C313650770-3,Ceil,Fosse,T180667577-23,10/21/2020 22:03,12/08/2023 21:43:39,E219851480-X,Barbabas,Bathow,10/22/2020 23:22,Microsoft_Certified
C307980332-9,Jermaine,Meake,T573937473-21,10/21/2020 22:03,12/08/2023 21:43:39,E767582271-4,Horatius,Scobie,10/22/2020 0:44,Microsoft_Certified
C431194426-8,Doyle,Greenhead,T098342026-22,10/21/2020 22:04,12/08/2023 21:43:39,E932383184-0,Magdalen,Habble,10/22/2020 1:14,CompTIA_Server+
C556566062-9,Malena,Faireclough,T260605234-2X,10/21/2020 22:05,12/08/2023 21:43:39,E259950699-9,Lindy,Rops,10/22/2020 2:30,Microsoft_Certified
C999765727-6,Padgett,Marley,T903536564-2X,10/21/2020 22:08,12/08/2023 21:43:39,E316442525-2,Chucho,Seres,10/22/2020 2:59,CompTIA_Server+
C585964735-2,Evanne,Vivien,T474012738-25,10/21/2020 22:08,12/08/2023 21:43:39,E564877819-8,Horatio,Roll,10/22/2020 3:38,Microsoft_Certified
C324915160-2,Terrel,Kitcatt,T328967274-23,10/21/2020 22:11,12/08/2023 21:43:39,E768080015-4,Katy,Plumridge,10/22/2020 4:19,CompTIA_Server+
C495934058-4,Robinetta,Lerego,T612122833-24,10/21/2020 22:12,12/08/2023 21:43:39,E311106623-1,Virgie,Parkhouse,10/22/2020 5:16,Microsoft_Certified
C433009905-5,Jamison,Heaps,T258963977-25,10/21/2020 22:15,12/08/2023 21:43:39,E161606676-8,Ted,Matteotti,10/22/2020 6:45,CompTIA_Server+
C942471359-2,Kay,Demeter,T439744657-21,10/21/2020 22:15,12/08/2023 21:43:39,E769348203-2,Anthony,Maven,10/22/2020 7:36,Microsoft_Certified
C341471416-7,Lia,Parades,T267561193-2X,10/21/2020 22:17,12/08/2023 21:43:39,E948802623-5,Lilia,Bowen,10/22/2020 8:12,CompTIA_Server+
C632244023-3,Bax,Kincla,T577664121-27,10/21/2020 22:19,12/08/2023 21:43:39,E978092756-5,Tove,Dodds,10/22/2020 8:50,Microsoft_Certified
C853970835-3,Alana,Groves,T443415822-28,10/21/2020 22:19,12/08/2023 21:43:39,E540690812-X,Diena,Kuzemka,10/22/2020 9:30,CompTIA_Server+
C115599994-0,Titus,Wigan,T133046071-25,10/21/2020 22:22,12/08/2023 21:43:39,E957693141-X,Philis,Whinray,10/22/2020 10:03,Microsoft_Certified
C838245887-4,Dur,Dunwoody,T018750778-23,10/21/2020 22:23,12/08/2023 21:43:39,E660836158-0,Hammad,Snead,10/22/2020 10:53,CompTIA_Server+
C549770039-X,Cass,Cheake,T164762042-22,10/21/2020 22:27,12/08/2023 21:43:39,E478507098-6,Shep,Coatsworth,10/22/2020 11:45,Microsoft_Certified
C059138242-3,Helge,McDonough,T256647556-23,10/21/2020 22:28,12/08/2023 21:43:39,E955623057-2,Steffane,St Quenin,10/22/2020 13:12,CompTIA_Server+
C617399555-7,Moina,Bolderoe,T623935980-27,10/21/2020 22:28,12/08/2023 21:43:39,E735007084-5,Keslie,Comsty,10/22/2020 13:40,Microsoft_Certified
C373198640-X,Robyn,Peddersen,T032103752-29,10/21/2020 22:28,12/08/2023 21:43:39,E247421236-1,Raymund,Dufour,10/22/2020 13:59,CompTIA_Server+
C246364705-1,Shannan,Garrals,T285301012-20,10/21/2020 22:28,12/08/2023 21:43:39,E532143762-9,Maxie,Brentnall,10/22/2020 15:03,Microsoft_Certified
C498585888-9,Reynold,Souley,T935769996-21,10/21/2020 22:29,12/08/2023 21:43:39,E491766151-X,Jacqui,Minghella,10/22/2020 15:46,CompTIA_Server+
C071657774-7,Vaughn,Lichfield,T314698923-29,10/21/2020 22:29,12/08/2023 21:43:39,E199205436-3,Carmelita,Wyse,10/22/2020 17:53,Microsoft_Certified
C530696624-1,Dolph,Cruddas,T025121898-28,10/21/2020 22:29,12/08/2023 21:43:39,E066662186-1,Florella,Eggerton,10/22/2020 18:18,CompTIA_Server+
C692593854-3,Isadore,Monan,T677436241-29,10/21/2020 22:35,12/08/2023 21:43:39,E891626253-4,Leena,Worman,10/22/2020 19:53,Microsoft_Certified
C646751908-6,Chere,Abramowitz,T035900445-28,10/21/2020 22:40,12/08/2023 21:43:39,E798518349-3,Durand,McKibbin,10/22/2020 22:12,CompTIA_Server+
C635057613-6,Alexandra,Toolan,T654625099-23,10/21/2020 22:41,12/08/2023 21:43:39,E219851480-X,Barbabas,Bathow,10/22/2020 23:22,Microsoft_Certified
C553291060-X,Ashlie,Dimitrijevic,T443674411-6,10/21/2020 0:01,12/08/2023 21:43:39,591-578-0263,E569321738-8,Emelita,10/22/2020 0:00
C934352888-4,Gustave,Casel,T562763203-8,10/21/2020 0:01,12/08/2023 21:43:39,871-450-8734,E002730958-4,Anette,10/22/2020 0:37
C344905789-8,Ivy,Beaumont,T512703853-6,10/21/2020 0:01,12/08/2023 21:43:39,719-634-1163,E173766832-7,Galvan,10/22/2020 0:43
C445348328-7,Greg,Dawid,T738683279-6,10/21/2020 0:02,12/08/2023 21:43:39,781-555-9069,E994400969-5,Lucky,10/22/2020 0:46
C233368661-8,Janessa,Sandhill,T923116346-9,10/21/2020 0:02,12/08/2023 21:43:39,347-643-2335,E238784262-6,Geoffry,10/22/2020 0:48
C401806868-9,Alexandro,Godspeede,T945319142-6,10/21/2020 0:05,12/08/2023 21:43:39,444-903-1024,E549193235-3,Rab,10/22/2020 0:49
C055326103-7,Margalit,Giannotti,T911934058-3,10/21/2020 0:06,12/08/2023 21:43:39,191-586-5737,E098634491-5,Andie,10/22/2020 1:28
C208773732-0,Bailie,Stentiford,T771727344-6,10/21/2020 0:07,12/08/2023 21:43:39,807-685-2077,E035866010-6,Malissa,10/22/2020 2:01
C135904400-0,Mandi,Karoly,T015415142-4,10/21/2020 0:13,12/08/2023 21:43:39,703-222-7157,E628590413-8,Robby,10/22/2020 2:09
C184993758-3,Zeb,Rangall,T009346314-6,10/21/2020 0:13,12/08/2023 21:43:39,504-311-4168,E268775104-9,Bealle,10/22/2020 2:41
C076586140-2,Dina,Coaten,T794921225-X,10/21/2020 0:14,12/08/2023 21:43:39,214-927-1304,E370350098-0,Meris,10/22/2020 2:42
C124378303-6,Nancie,Lemme,T755233053-8,10/21/2020 0:18,12/08/2023 21:43:39,814-328-7660,E874903957-1,Cleavland,10/22/2020 2:49
